id,name,count,time_spent
69036665,Василек,45,218.0
6943c24d,Лаватера,142,196.0
6959657b,Календула,997,205.0
697beb19,Календула,915,222.0
697c4ff5,Календула,2316,334.0
6a1878fc,Василек,166,265.5
6a3e63d8,Немезия,245,212.0
6a481539,Роза,23,294.0
6e56e345,Мальва,227,170.0
6f5e4bfd,Василек,74,180.5
705d5d43,Гацания,50,178.5
733719b4,Василек,202,376.5
73f34569,Гвоздика,176,273.5
747d9125,Мальва,466,175.0
74816ada,Немезия,124,188.5
74e68790,Аммобиум,57,159.0
75a43c07,Лаватера,38,186.5
76144fb2,Василек,130,289.0
76237696,Немезия,442,246.5
76f13844,Календула,448,201.5
76fb4570,Роза,143,266.0
77890b8c,Агератум,4,278.0
779ecf37,Немезия,254,180.5
77a71abe,Ирис,349,185.0
77acbabf,Люпин,191,184.0
78436e7a,Пион,136,140.0
78b4c36d,Гейхера,686,252.0
78c11b6a,Немезия,359,199.0
7937732f,Василек,231,213.0
794d9593,Василек,1792,265.0
7a24fd69,Немезия,298,218.5
7c6593ad,Василек,125,257.0
7ca55b28,Колокольчик,126,155.0
7e2087ce,Амарант,26,223.5
7e46642c,Бархатцы,254,181.5
7eac584a,Хризантема,18,224.0
7f2a8cc4,Василек,289,230.0
7f4688bc,Арктотис,166,199.0
7f7ade5b,Малопа,164,274.0
7fbff4e7,Доротеантус,584,220.5
812ad96f,Бегония,61,268.0
82740ad8,Немезия,1193,205.0
828fd877,Лаватера,165,285.0
82a6004d,Гейхера,117,184.0
82fb5ed5,Мальва,152,208.5
8379c78f,Мальва,106,146.0
84735208,Василек,184,216.0
84f2475b,Арктотис,105,177.0
856c6a9b,Немезия,362,251.0
862b6759,Пион,37,181.0
86423c2b,Календула,767,198.0
8652a33e,Гейхера,90,231.5
865feaca,Василек,1358,327.0
866143f8,Роза,61,265.0
867e81e2,Василек,163,216.0
872bff08,Мальва,419,165.0
878ca5cc,Лаватера,271,228.0
88bf9d2c,Роза,50,369.0
892169f1,Лаватера,292,311.0
89706445,Вербена,186,190.5
899046ac,Мальва,203,198.0
8aeb4046,Левкой,21,279.0
8c1ac602,Астильба,29,308.0
8c5d9b9a,Календула,401,187.0
8cc819c3,Календула,1139,221.0
8e067600,Аммобиум,19,145.0
8e52e166,Василек,1475,205.0
8f6ab1e0,Хризантема,31,179.0
8fd571df,Календула,541,282.0
902ea4a9,Немезия,845,171.0
90ae3535,Вероника,469,223.0
916e5178,Бегония,23,212.0
91d88d59,Люпин,6,129.5
920a0190,Василек,158,254.0
92a68ae0,Агератум,300,292.0
92f171d6,Колокольчик,147,148.0
933de70a,Тюльпан,99,204.0
9383f6eb,Гейхера,257,174.0
93c15fac,Ромашка,381,189.0
93e3e060,Календула,369,222.0
951b7a7f,Мальва,36,188.5
953be528,Роза,14,368.5
9554be5b,Василек,68,251.5
95e6736d,Бегония,63,190.0
97799bbb,Василек,74,206.5
97803164,Амарант,151,178.0
982793fd,Крокус,46,257.5
99297b8e,Тюльпан,121,159.0
99a30028,Незабудка,111,161.0
9b5832b4,Василек,66,244.0
9cb76db1,Тюльпан,91,186.0
9cdb5039,Гейхера,1843,192.0
9d458cbb,Колокольчик,335,151.0
9e7687b2,Василек,362,220.0
9f020582,Колокольчик,296,168.0
a00cf4c2,Василек,144,225.5
a065e41e,Василек,615,243.0
a072c9bf,Гейхера,129,235.0
a1582ca1,Василек,20,199.5
a396d2ab,Люпин,16,259.0
a640f108,Василек,71,194.0
a7120114,Василек,857,358.0
a8256186,Колокольчик,211,137.0
a867efed,Василек,109,248.0
a92f1bc2,Мальва,583,190.0
a989489e,Люпин,272,182.0
aa16b654,Ромашка,109,288.0
ab0663e3,Календула,714,200.0
ad04874f,Василек,160,220.5
ad12524d,Роза,82,225.5
ad221dd1,Василек,465,244.0
ad552c51,Василек,53,229.0
ad7d9fa6,Василек,187,345.0
ad9a2776,Гейхера,550,204.5
af7475bd,Тюльпан,504,185.5
b0581404,Василек,4176,272.0
b13a535c,Василек,194,234.5
b143f850,Люпин,42,222.0
b1d22497,Тюльпан,139,181.0
b279849c,Подснежник,119,225.0
b31ba1c3,Лаватера,161,368.0
b3595c70,Мальва,148,163.0
b3b6ad51,Левкой,190,174.5
b4716775,Василек,21,214.0
b72c755e,Амарант,144,161.0
b772b70a,Белоцветник,42,154.0
b7a18851,Календула,313,190.0
b8265702,Василек,14,248.5
b92b41b2,Колокольчик,428,174.5
b99e049f,Малопа,15,146.0
ba367bf5,Василек,68,226.0
bac055d2,Люпин,43,173.0
badfbfa2,Роза,45,371.0
bed3b355,Календула,2107,256.0
bf7a3010,Пион,46,154.0
c0010598,Вербена,101,218.0
c01a8d1c,Космос,160,267.0
c0223c3c,Мальва,187,163.0
c06e9a54,Вербена,73,167.0
c24760e4,Василек,2679,204.0
c29fc4f3,Колокольчик,302,157.5
c2fd4c50,Колокольчик,154,186.5
c37cf097,Георгина,3144,259.0
c3de8c2d,Календула,268,218.0
c40bcdb7,Люпин,31,200.0
c44cd676,Календула,1120,315.0
c4b84bac,Немезия,729,245.0
c50a2744,Мальва,500,175.5
c644d78f,Календула,1083,258.0
c6750396,Георгина,1256,335.0
c6b039a4,Немезия,359,235.0
c732eb03,Георгина,1631,289.0
c948296d,Василек,108,229.5
c9b10701,Календула,337,258.0
ca274521,Василек,565,234.0
ca7620aa,Василек,63,233.0
cab02035,Хризантема,23,145.0
cb08e0bb,Василек,255,298.0
cb6003f2,Немезия,1057,277.0
cc05ec43,Василек,384,380.0
cd0c396c,Лаватера,143,243.0
cd38bf57,Роза,72,418.0
cdfb734c,Лаватера,115,276.0
ce8f9e65,Хризантема,134,197.5
cf1ba8a5,Василек,716,298.0
cf3f7f5e,Вероника,188,236.5
cf46571d,Немезия,441,279.0
cfffba81,Тюльпан,250,191.5
d0549cd6,Василек,389,359.0
d05a7dc7,Василек,982,304.0
d0c0928d,Пион,157,277.0
d1c0133e,Георгина,613,321.0
d209339e,Василек,357,399.0
d226bcf5,Василек,45,291.0
d24c32a1,Колокольчик,339,161.0
d274b11a,Василек,67,260.0
d28a3bb4,Люпин,42,219.5
d2d69b8a,Аммобиум,112,208.5
d4ed39bf,Функия,84,171.5
d5437eeb,Василек,127,286.0
d660c53b,Василек,813,236.0
d6b0fc45,Ромашка,55,293.0
d840f914,Василек,269,215.0
d90b136b,Василек,69,198.0
d9fd00ab,Вербена,349,209.0
dac3fd0e,Колокольчик,150,185.5
db757268,Гейхера,44,162.5
db89b2f8,Астильба,53,358.0
dba100eb,Хризантема,27,165.0
dbe1bad5,Люпин,193,156.0
ddb8d338,Астильба,20,332.0
de442f4a,Роза,2,272.5
e0bee5f8,Календула,1226,253.5
e10c0a53,Василек,283,240.0
e1b4d6f1,Малопа,51,221.0
e2587706,Агератум,7,144.0
e29ffb4a,Люпин,37,276.0
e5d7b126,Агератум,280,370.5
e648b45e,Астильба,42,465.5
e66b6d7a,Василек,568,172.5
e6ee10ab,Астильба,83,489.0
e7d23afd,Подснежник,45,173.0
e80c9f2c,Гейхера,124,167.0
e9982a61,Георгина,313,211.0
eaa5a9db,Петуния,46,319.5
eb99237f,Астильба,4,197.0
ec27c067,Василек,344,391.0
ec9e90b1,Ромашка,201,160.0
ecba4e89,Доротеантус,280,149.0
ee2c18f2,Роза,107,242.0
f04ce247,Василек,66,327.5
f0e21694,Колокольчик,203,166.0
f2042552,Василек,692,379.5
f4bd4c48,Диморфотека,81,230.0
f509e4dd,Роза,115,249.0
f630b8af,Астильба,56,405.5
f776fb98,Роза,48,376.0
f7d9e06d,Люпин,123,195.0
f822facc,Мальва,526,198.0
f9218ed9,Василек,465,438.0
f965e314,Колокольчик,317,176.0
fa1a4d4e,Василек,528,341.5
fb3269c0,Василек,1393,224.0
fb6610be,Колокольчик,426,161.0
fbbd8cc2,Роза,82,454.5
fc4b1b72,Василек,543,340.0
fea1d1b8,Ромашка,154,170.0
ff0f01d2,Малопа,95,211.0
